Node,xx,yy,zz
15,0.14212670403551894,0.19235384061671346,0.07071067811865477
17,0.7984985911070851,0.15811388300841897,0.03162277660168379
18,0.8908984229416954,0.42801869118065394,0.022360679774997897
20,0.06,0.1063014581273465,0.03605551275463989
21,0.15297058540778355,0.08944271909999159,0.022360679774997897
22,0.2024845673131659,0.38897300677553454,0.0608276253029822
23,0.22360679774997896,0.36891733491393436,0.0608276253029822
24,0.35114099732158877,0.3905124837953327,0.03162277660168379
25,0.35735136770411274,0.474236228055175,0.06403124237432849
27,0.9454099639838794,0.30413812651491096,0.11180339887498948
29,0.4428317965096906,0.530754180388624,0.0670820393249937
31,0.8631338250816034,0.32649655434629016,0.044721359549995794
32,1.0,0.3606937759374287,0.12041594578792295
33,0.46840153714521476,0.5173973328110613,0.01414213562373095
36,0.30083217912982646,0.17888543819998318,0.0608276253029822
37,0.10198039027185571,0.2780287754891569,0.09433981132056604
38,0.25495097567963926,0.32649655434629016,0.044721359549995794
39,0.38,0.367967389859482,0.10198039027185571
40,0.3668787265568828,0.46861498055439926,0.05385164807134504
41,0.0282842712474619,0.12206555615733704,0.01414213562373095
42,0.27730849247724093,0.5536244214266564,0.044721359549995794
43,0.3125699921617557,0.8886506625215558,0.05830951894845301
44,0.3132091952673165,0.5032891812864648,0.03162277660168379
45,0.5119570294468082,0.5860034129593444,0.05830951894845301
46,0.15297058540778355,0.18439088914585774,0.08544003745317531
47,0.2716615541441225,0.22671568097509268,0.0670820393249937
49,0.19209372712298545,0.26870057685088805,0.09899494936611666
5,0.05,0.08944271909999159,0.01414213562373095
52,0.2816025568065745,0.3328663395418648,0.11401754250991379
53,0.2941088233970549,0.3687817782917155,0.09219544457292887
54,0.050990195135927854,0.161245154965971,0.11401754250991379
55,0.161245154965971,0.11045361017187261,0.09848857801796104
56,0.20024984394500786,0.2262741699796952,0.09219544457292887
58,0.1392838827718412,0.31144823004794875,0.07280109889280519
59,0.34481879299133333,0.2758622844826744,0.08246211251235322
6,0.4687216658103186,0.6030754513325841,0.0670820393249937
60,0.3298484500494129,0.46010868281309364,0.14866068747318506
61,0.1,0.45276925690687087,0.08944271909999159
62,0.24351591323771843,0.6029925372672534,0.042426406871192854
63,0.3352610922848042,0.9228217596047463,0.04123105625617661
64,0.41000000000000003,0.5032891812864648,0.03162277660168379
65,0.40162171256046403,0.3687817782917155,0.08485281374238571
66,0.43908996800200295,0.4244997055358225,0.10295630140987
68,0.3590264614203248,0.4669047011971501,0.050990195135927854
69,0.3736308338453881,0.49648766349225637,0.10816653826391967
7,0.61,0.5658621740318043,0.05
95,0.6799999999999999,0.16999999999999998,0.042426406871192854
96,0.45607017003965516,0.6811754546370561,0.05830951894845301
